gene	pval	fstat	species_specific
APOBEC2	8.92422348111459e-25	56.1165255971812	TRUE
OARD1	2.42551311741965e-13	29.2505045372475	TRUE
NFYA	0.00439325659809676	5.43474346985245	TRUE
TREM1	0.221880142967414	1.50616077646593	TRUE
FOXP4	1.02816953949246e-48	113.471557741752	TRUE
MDFI	2.33636145467388e-28	64.6028175354572	TRUE
TFEB	1.11185215860646e-154	386.353886516407	TRUE
USP49	2.61542226212441e-24	55.0126774600208	TRUE
MED20	8.82081192020396e-12	25.6096509263235	TRUE
BYSL	6.5536685207819e-22	49.350898152737	TRUE
CCND3	2.11441917241884e-24	55.2309352223384	TRUE
TAF8	7.54555851002441e-15	32.772286469356	TRUE
GUCA1A	3.38280665617086e-14	31.2489591027552	TRUE
GUCA1B	0.199661035573262	1.61175577186066	TRUE
MRPS10	5.6106205252612e-35	80.3738017505948	TRUE
UBR2	1.01705245641742e-15	34.8087609174579	TRUE
TBCC	0.000605773873758404	7.42216115045227	TRUE
RPL7L1	4.55776416323036e-18	40.3138485300996	TRUE
PTCRA	1.0279697927634e-05	11.5169784597864	TRUE
CNPY3	4.14005417633836e-27	61.6412350114897	TRUE
GNMT	2.25492629892946e-23	52.8027952873764	TRUE
PEX6	7.87496257706026e-19	42.104220266099	TRUE
PPP2R5D	4.09728455996828e-06	12.4421010648087	TRUE
MEA1	3.88891256654745e-50	116.92701310797	TRUE
KLHDC3	5.95323691875916e-41	94.7065841004438	TRUE
CUL7	2.2654973464022e-15	33.9946831401728	TRUE
MRPL2	0.000976250600866574	6.94330738531187	TRUE
KLC4	1.34016654254892e-12	27.5179376386866	TRUE
PTK7	0.000738641146254664	7.22316041718551	TRUE
SRF	0	1101.27918937809	FALSE
CUL9	1.01310862538782e-11	25.4694626990187	TRUE
DNPH1	1.11013450898864e-47	110.964429469189	TRUE
TTBK1	0.849892278736424	0.162652001752534	TRUE
CRIP3	6.8175251030149e-19	42.2513241720013	TRUE
ZNF318	0.00824560834300441	4.80359026164351	TRUE
ABCC10	0.0206632940407042	3.88300161588548	TRUE
DLK2	0.110580612981461	2.20317174800071	TRUE
TJAP1	1.07687683579537e-16	37.0928415776124	TRUE
LRRC73	3.43441552637861e-06	12.6196376129054	TRUE
YIPF3	4.14527772185068e-16	35.7214399307659	TRUE
