X_scanvi_emb1,X_scanvi_emb2,X_scanvi_emb3,X_scanvi_emb4,X_scanvi_emb5,X_scanvi_emb6,X_scanvi_emb7,X_scanvi_emb8,X_scanvi_emb9,X_scanvi_emb10,X_scanvi_emb11,X_scanvi_emb12,X_scanvi_emb13,X_scanvi_emb14,X_scanvi_emb15,X_scanvi_emb16,X_scanvi_emb17,X_scanvi_emb18,X_scanvi_emb19,X_scanvi_emb20,X_scanvi_emb21,X_scanvi_emb22,X_scanvi_emb23,X_scanvi_emb24,X_scanvi_emb25,X_scanvi_emb26,X_scanvi_emb27,X_scanvi_emb28,X_scanvi_emb29,X_scanvi_emb30,X_umap1,X_umap2
0.025648892,-0.19104838,0.068330795,0.08437598,-0.3377709,0.8724836,-0.14818281,-0.09401526,1.0131583,-1.2399664,-0.44592,0.068828225,3.21156,0.33368754,-0.08146238,-0.67742544,0.543158,0.18935904,-0.139355,2.202125,-0.17400002,0.8401004,0.06459754,0.49451202,0.020318061,0.1627881,0.18403023,0.23960267,-1.0406718,-0.63930655,10.988943,10.454529
0.4562171,0.7548301,-0.1655744,-0.52599853,-1.1726292,0.10048619,0.92652524,-0.19459468,1.0717707,-1.4585937,-1.1813928,0.08132814,4.6586313,0.9944216,0.29955906,-0.5401453,0.591292,0.12805949,0.5241312,2.457544,-0.30766928,0.32678863,0.057873704,0.97288245,0.56740165,0.34174508,-0.026222974,-0.026913926,-0.5920296,-0.6199477,10.805774,10.555925
0.23409158,0.20261472,0.20243219,0.44864938,-0.42496908,0.9586872,0.19357103,-0.14123538,1.4242643,-1.1347976,-0.6838207,0.06982226,3.9614584,0.35355476,0.4688201,-0.5361917,0.81873083,0.17574161,-0.44752228,2.6524515,-0.21851873,0.52815914,0.06076324,1.2340097,-0.12483555,0.11805183,-0.33808994,0.04688461,-0.7589327,-0.84386694,10.925462,10.699683
0.77360153,-0.08647114,-0.04726,0.25256377,-0.03961628,0.2387618,-0.05925259,-0.08144664,1.1808188,-1.2979559,-0.45421088,0.059774175,3.5602562,0.22137013,0.027650476,-0.45839623,1.0737332,0.08292994,-0.5743462,2.3017952,0.021202564,0.64591086,0.04557155,0.933744,-0.20567605,0.36213887,0.018341899,-0.18728037,-0.19395787,-0.46204773,10.955204,10.543784
0.32499877,0.21650267,-0.1415771,-0.025440216,-0.2814761,0.68598264,0.18685624,-0.036654316,0.8171035,-1.0774416,-0.55363333,0.08067746,3.086346,0.14652911,-0.10547435,-0.72342366,0.8351493,0.13338375,-0.8936339,2.4874766,-0.17906833,0.45514256,0.06451439,0.27224416,-0.4273498,0.26513475,0.12290123,0.3906526,-0.9292888,0.431187,10.878029,10.48889
1.4821862,1.3120782,-0.43550873,0.2238648,-0.53712904,-0.70191294,-0.08626771,-0.040346466,0.49392605,-1.5681175,-0.5331312,0.08805265,3.5045302,1.0850874,-1.626285,-1.2205019,1.032686,0.048704486,0.952456,2.1084018,0.1605041,-0.52604395,0.054479897,0.2652647,-0.26133853,-0.7337294,-0.7416693,0.07709716,-0.78012216,-1.5821482,6.1760583,2.7910454
0.34886652,-0.34786993,0.21777412,0.23537141,-3.9217744,0.45854813,-1.1960638,-0.22858551,1.1340458,-0.44198367,0.12858312,0.10088141,1.3429458,-0.75178826,1.2251914,-0.1662757,0.08932662,0.011237949,0.23446822,-0.035751194,0.050148964,0.07420396,0.0665103,0.21631071,-0.36341143,0.024189174,0.38250986,0.08315539,-0.48151943,0.15958215,12.54121,6.388791
-0.40879378,0.18697548,0.27984998,0.12583876,-0.7042181,0.9221057,-0.6629515,-0.17804015,1.1803198,-1.3358982,-0.18509836,0.07396821,3.9638817,0.35788047,-0.02496773,-0.32022366,0.6599896,0.21980931,-0.10001373,2.77596,0.2239132,0.4464786,0.04590196,0.7940591,0.090703726,-0.0812996,-0.8306649,0.16836779,-0.7252564,-0.34618142,10.977874,10.64712
-0.15110062,-0.7496081,0.64614165,0.08488959,-0.26470003,0.112393074,-0.52285796,-0.2108813,1.6299678,-1.2308582,-0.8576852,0.045649894,3.6319458,-0.067261845,0.39846694,0.07964632,0.8533933,0.18161356,-0.19209611,2.6143367,-0.18033111,0.06903927,0.057342194,1.6054072,-0.041145265,0.3063032,-0.93827,-0.04229255,-0.7001487,-0.99488723,11.108244,10.855664
0.44773835,-0.2222082,0.62963283,0.10080522,-0.35594064,0.69329154,-0.3851877,-0.17602238,0.88516784,-1.489904,-0.21329893,0.060287856,4.187844,0.40503648,0.060824275,-0.1201202,0.7928654,0.20645991,0.043842554,2.7822511,0.04339528,0.37038088,0.058274016,1.1087666,0.1414898,0.12856764,-0.75879717,-0.14419042,-1.0734862,-0.36024678,11.02912,10.607998
